lat,long,compon_n,compon_e,erro_n,erro_e
14,-75,0.0123,0.0098,0.0011,0.0014
14,-74,0.0128,0.0109,0.0013,0.0004
14,-73,0.0133,0.0109,0.0013,0.0004
14,-72,0.0124,0.0118,0.0018,0.0008
14,-71,0.0114,0.0123,0.0008,0.0006
14,-70,0.0119,0.0123,0.0008,0.0006
14,-69,0.0123,0.0124,0.0008,0.0006
14,-68,0.012,0.0127,0.0004,0.0001
14,-67,0.0125,0.0127,0.0004,0.0002
14,-66,0.0126,0.0128,0.0006,0.0007
14,-65,0.0126,0.0129,0.0016,0.0013
14,-64,0.0125,0.0134,0.0005,0.0007
14,-63,0.0129,0.0135,0.0006,0.0007
14,-62,0.0134,0.0135,0.0006,0.0007
14,-61,0.0138,0.0142,0.0005,0.0005
14,-60,0.0145,0.0138,0.0004,0.0007
14,-59,0.0149,0.0134,0.0004,0.0006
14,-58,0.0154,0.0136,0.0004,0.0006
13,-89,0.0028,0.0075,0.0021,0.0042
13,-88,0.0021,0.01,0.0008,0.0009
13,-87,0.0038,0.0095,0.0012,0.0012
13,-86,0.0047,0.0093,0.0013,0.0012
13,-85,0.0051,0.0107,0.0013,0.002
13,-84,0.0052,0.0116,0.0013,0.0022
13,-83,0.0047,0.0133,0.0006,0.0005
13,-82,0.0051,0.0133,0.0006,0.0005
13,-81,0.0055,0.0134,0.0006,0.0005
13,-80,0.0062,0.0134,0.0006,0.0005
13,-79,0.0086,0.0147,0.0026,0.0015
13,-78,0.0085,0.0113,0.0019,0.0023
13,-77,0.0102,0.0101,0.0017,0.0019
13,-76,0.0121,0.0095,0.0008,0.0012
13,-75,0.0126,0.0095,0.0008,0.0012
13,-74,0.013,0.0109,0.0012,0.0009
13,-73,0.0133,0.0115,0.0013,0.0004
13,-72,0.0124,0.0123,0.0018,0.0007
13,-71,0.0115,0.0127,0.0007,0.0005
13,-70,0.0117,0.013,0.0007,0.0005
13,-69,0.0121,0.013,0.0007,0.0005
13,-68,0.0128,0.013,0.0008,0.0006
13,-67,0.0133,0.0123,0.0014,0.0016
13,-66,0.0123,0.0134,0.0012,0.0004
13,-65,0.0122,0.0138,0.0007,0.0007
13,-64,0.0125,0.0138,0.0007,0.0006
13,-63,0.0126,0.0137,0.0006,0.0007
13,-62,0.0134,0.0139,0.0007,0.0006
13,-61,0.0137,0.0139,0.0005,0.0007
13,-60,0.0142,0.0138,0.0006,0.0006
13,-59,0.0149,0.0138,0.0004,0.0006
13,-58,0.0154,0.014,0.0004,0.0006
12,-88,0.0029,0.0104,0.0019,0.0012
12,-87,0.0053,0.0089,0.0021,0.002
12,-86,0.0063,0.0086,0.0024,0.0022
12,-85,0.0069,0.0086,0.0024,0.0022
12,-84,0.011,0.0111,0.0048,0.0022
12,-83,0.006,0.0146,0.0022,0.0023
12,-82,0.0069,0.0151,0.0026,0.0016
12,-81,0.0065,0.0151,0.0018,0.0016
12,-80,0.0073,0.0148,0.0023,0.0014
12,-79,0.0088,0.0154,0.0026,0.0015
12,-78,0.0099,0.0129,0.0019,0.0034
12,-77,0.0102,0.0106,0.0017,0.0019
12,-76,0.0107,0.0106,0.0017,0.0019
12,-75,0.0117,0.0109,0.0017,0.0017
12,-74,0.0136,0.0102,0.0009,0.0014
12,-73,0.0138,0.0112,0.0014,0.0015
12,-72,0.0134,0.0113,0.0011,0.0014
12,-71,0.0125,0.0119,0.0012,0.002
12,-70,0.0117,0.0135,0.0007,0.0005
12,-69,0.0119,0.0136,0.0009,0.0014
12,-68,0.013,0.0127,0.0014,0.0021
12,-67,0.0139,0.0126,0.0013,0.0019
12,-66,0.0123,0.0139,0.0012,0.0004
12,-65,0.0116,0.0135,0.0005,0.0007
12,-64,0.0121,0.0136,0.0005,0.0007
12,-63,0.0125,0.0136,0.0005,0.0007
12,-62,0.0129,0.0133,0.0005,0.0008
12,-61,0.0134,0.0137,0.0005,0.0009
12,-60,0.0138,0.0136,0.0005,0.0008
12,-59,0.0143,0.0139,0.0005,0.001
12,-58,0.0147,0.0138,0.0005,0.001
11,-87,0.0068,0.0071,0.0013,0.0016
11,-86,0.0104,0.0099,0.0057,0.0028
11,-85,0.0109,0.0099,0.005,0.0024
11,-84,0.0124,0.0125,0.0052,0.0048
11,-83,0.0146,0.0153,0.005,0.0046
11,-82,0.008,0.0172,0.0022,0.0012
11,-81,0.0082,0.0167,0.0019,0.0012
11,-80,0.0113,0.0177,0.0006,0.0004
11,-79,0.0118,0.0177,0.0006,0.0004
11,-78,0.0118,0.0179,0.0018,0.0024
11,-77,0.0102,0.0112,0.0017,0.0019
11,-76,0.011,0.0114,0.0016,0.0015
11,-75,0.0122,0.0107,0.0015,0.0015
11,-74,0.0136,0.0109,0.0014,0.0018
11,-73,0.0143,0.0105,0.0011,0.0016
11,-72,0.0139,0.0113,0.0014,0.0016
11,-71,0.0132,0.0123,0.0016,0.0017
11,-70,0.0125,0.0128,0.0014,0.0021
11,-69,0.0126,0.0131,0.0014,0.0021
11,-68,0.0132,0.013,0.0015,0.0021
11,-67,0.0138,0.013,0.0015,0.0021
11,-66,0.0124,0.0143,0.0009,0.0006
11,-65,0.0116,0.0141,0.0005,0.0007
11,-64,0.012,0.0137,0.0005,0.0008
11,-63,0.0124,0.0137,0.0005,0.0008
11,-62,0.0129,0.0138,0.0005,0.0008
11,-61,0.0133,0.0138,0.0005,0.0008
11,-60,0.0138,0.014,0.0004,0.0008
11,-59,0.0142,0.0136,0.0002,0.0005
11,-58,0.0147,0.0137,0.0002,0.0005
10,-86,0.0116,0.0105,0.0058,0.0031
10,-85,0.0133,0.0127,0.0054,0.0046
10,-84,0.0145,0.0141,0.0054,0.0055
10,-83,0.0094,0.0184,0.0038,0.0049
10,-82,0.014,0.0213,0.0058,0.0025
10,-81,0.0101,0.0194,0.0017,0.0018
10,-80,0.0108,0.0196,0.0017,0.0017
10,-79,0.012,0.0196,0.0006,0.0018
10,-78,0.0123,0.0203,0.0004,0.002
10,-77,0.0107,0.0174,0.0016,0.0041
